deck_id,hero,date,assigned_draft_index
0,Florian,2024-09-16T20:34:51,1
1,Verdance,2024-09-16T23:39:09,1
2,Oscilio,2024-09-16T23:48:18,1
3,Florian,2024-09-17T01:50:44,1
4,Aurora,2024-09-17T02:00:27,1
5,Florian,2024-09-17T04:01:06,1
6,Florian,2024-09-17T05:20:47,1
7,Florian,2024-09-17T08:21:44,1
8,Aurora,2024-09-17T09:27:14,1
9,Aurora,2024-09-17T11:18:18,1
10,Oscilio,2024-09-17T13:43:58,1
11,Oscilio,2024-09-17T13:58:45,1
12,Verdance,2024-09-17T14:23:23,1
13,Florian,2024-09-17T15:24:16,1
14,Florian,2024-09-17T15:34:33,1
15,Verdance,2024-09-17T17:59:40,1
16,Verdance,2024-09-17T18:15:43,1
17,Oscilio,2024-09-17T18:42:10,1
18,Verdance,2024-09-17T19:58:53,1
19,Florian,2024-09-17T20:54:08,1
20,Oscilio,2024-09-17T21:43:29,1
21,Oscilio,2024-09-17T22:54:59,1
22,Verdance,2024-09-17T23:28:17,1
23,Oscilio,2024-09-17T23:58:15,1
24,Florian,2024-09-18T00:26:32,1
25,Verdance,2024-09-18T00:32:17,1
26,Florian,2024-09-18T02:19:00,1
27,Aurora,2024-09-18T02:41:30,1
28,Verdance,2024-09-18T04:28:11,1
29,Oscilio,2024-09-18T06:10:50,1
30,Florian,2024-09-18T07:24:46,1
31,Oscilio,2024-09-18T08:32:59,1
32,Verdance,2024-09-18T09:20:56,1
33,Florian,2024-09-18T14:06:46,1
34,Verdance,2024-09-18T15:30:16,1
35,Florian,2024-09-18T17:06:22,1
36,Aurora,2024-09-18T18:15:11,1
37,Aurora,2024-09-18T18:20:37,1
38,Florian,2024-09-18T20:37:43,1
39,Florian,2024-09-18T21:00:34,1
40,Aurora,2024-09-18T21:37:45,1
41,Florian,2024-09-18T22:14:10,1
42,Oscilio,2024-09-18T22:46:56,1
43,Florian,2024-09-18T23:22:57,1
44,Oscilio,2024-09-18T23:31:13,1
45,Oscilio,2024-09-19T01:28:40,1
46,Oscilio,2024-09-19T02:46:20,1
47,Oscilio,2024-09-19T04:33:07,1
48,Verdance,2024-09-19T05:14:59,1
49,Florian,2024-09-19T06:47:15,1
50,Verdance,2024-09-19T07:34:01,1
51,Verdance,2024-09-19T09:29:30,1
52,Verdance,2024-09-19T09:30:20,1
53,Verdance,2024-09-19T12:47:44,1
