deck_id,hero,date,card_name,count,is_equipment
0,Nuu,2024-05-20T05:39:13,Bonds of Memory (red),1,0
0,Nuu,2024-05-20T05:39:13,Desires of Flesh (red),1,0
0,Nuu,2024-05-20T05:39:13,Double Trouble (red),1,0
0,Nuu,2024-05-20T05:39:13,Evasive Leap (red),2,0
0,Nuu,2024-05-20T05:39:13,Hiss (red),1,0
0,Nuu,2024-05-20T05:39:13,Impulsive Desire (red),2,0
0,Nuu,2024-05-20T05:39:13,Intimate Inducement (red),2,0
0,Nuu,2024-05-20T05:39:13,Mind's Desire (red),1,0
0,Nuu,2024-05-20T05:39:13,Pick to Pieces (red),1,0
0,Nuu,2024-05-20T05:39:13,Evasive Leap (yellow),1,0
0,Nuu,2024-05-20T05:39:13,Hiss (yellow),1,0
0,Nuu,2024-05-20T05:39:13,Mind's Desire (yellow),1,0
0,Nuu,2024-05-20T05:39:13,Pick to Pieces (yellow),2,0
0,Nuu,2024-05-20T05:39:13,Venomous Bite (yellow),1,0
0,Nuu,2024-05-20T05:39:13,Wounding Blow (yellow),1,0
0,Nuu,2024-05-20T05:39:13,Art of Desire: Mind (blue),1,0
0,Nuu,2024-05-20T05:39:13,Battlefront Bastion (blue),1,0
0,Nuu,2024-05-20T05:39:13,Desires of Flesh (blue),1,0
0,Nuu,2024-05-20T05:39:13,Hiss (blue),1,0
0,Nuu,2024-05-20T05:39:13,Intimate Inducement (blue),2,0
0,Nuu,2024-05-20T05:39:13,Levels of Enlightenment (blue),1,0
0,Nuu,2024-05-20T05:39:13,Mind's Desire (blue),1,0
0,Nuu,2024-05-20T05:39:13,Pass Over (blue),2,0
0,Nuu,2024-05-20T05:39:13,Path Well Traveled (blue),2,0
0,Nuu,2024-05-20T05:39:13,Pick to Pieces (blue),1,0
0,Nuu,2024-05-20T05:39:13,Venomous Bite (blue),1,0
0,Nuu,2024-05-20T05:39:13,Wounding Blow (blue),1,0
0,Nuu,2024-05-20T05:39:13,Aqua Laps,1,1
0,Nuu,2024-05-20T05:39:13,Aqua Seeing Shell,1,1
0,Nuu,2024-05-20T05:39:13,Heirloom of Snake Hide,1,1
1,Enigma,2024-05-20T07:31:00,Astral Etchings (red),1,0
1,Enigma,2024-05-20T07:31:00,Battlefront Bastion (red),1,0
1,Enigma,2024-05-20T07:31:00,Haze Shelter (red),1,0
1,Enigma,2024-05-20T07:31:00,Single Minded Determination (red),1,0
1,Enigma,2024-05-20T07:31:00,Solitary Companion (red),1,0
1,Enigma,2024-05-20T07:31:00,Spectral Manifestations (red),1,0
1,Enigma,2024-05-20T07:31:00,Vengeful Apparition (red),2,0
